,Trends trend_augur_loss,Trends trend_augur_val_loss
0,0.001394238787431901,0.18947995657270605
1,0.0015424627903079199,0.1684876259200829
2,0.0017087892475268565,0.16422079552796262
3,0.001403100413370354,0.15821337355069878
4,0.0011735990680061465,0.1465968152215658
5,0.0010630473107761465,0.1334094066511501
6,0.001020878534148301,0.12202081761576912
7,0.0009541933805766431,0.11219856056792676
8,0.0008514821490904024,0.10231290843861163
9,0.0007484410822099028,0.09178872498845266
10,0.0006631830926553523,0.0812429262956312
11,0.0005875743188595107,0.07126915220879326
12,0.0005084198018274278,0.06176623541954135
13,0.0004305230075501152,0.052624134239086434
14,0.0003612541549354176,0.04406301880424673
15,0.00030013864373110914,0.03631041820876855
16,0.00024525479707974664,0.029413354606175227
17,0.00019842694024747808,0.023414859332698434
18,0.00016038148463819144,0.01836622414017512
19,0.00013011647340233537,0.014242592013695023
20,0.00010695703344973774,0.010968617656198908
21,9.009951156995082e-05,0.00845342141014239
22,7.804750473515616e-05,0.00657671920123918
23,6.954865515701597e-05,0.005207630209162955
24,6.347463126121135e-05,0.004228872108496417
25,5.885692311389264e-05,0.0035367798645141698
26,5.504282476180348e-05,0.003047589031779323
27,5.161123733182461e-05,0.0026983813313413256
28,4.835190489110806e-05,0.0024436821541479552
29,4.517581589974094e-05,0.002252220291613547
30,4.207238864994508e-05,0.002102730106870251
31,3.90620563157126e-05,0.0019814774648032403
32,3.617126381598136e-05,0.0018797524154093887
33,3.3423952599083004e-05,0.0017921004659873395
34,3.083541708871383e-05,0.0017152638415120973
35,2.8414252295432043e-05,0.001647363526531118
36,2.6161967830112865e-05,0.001587296855320369
37,2.4076640795462202e-05,0.0015344357951197866
38,2.2153962140879785e-05,0.0014882835834710436
39,2.0387216698674653e-05,0.0014484649185429919
40,1.8770456704222558e-05,0.0014145729345585074
41,1.729551119699089e-05,0.0013861988867394442
42,1.59551461312866e-05,0.0013629208186117948
43,1.4741345386170929e-05,0.0013442583149299026
44,1.364638408947128e-05,0.001329777127301151
45,1.2662197097732824e-05,0.0013190279050907198
46,1.1781414467211204e-05,0.0013115813191749218
47,1.0996124105121986e-05,0.0013070360378339147
48,1.0298962847590409e-05,0.0013050049502972114
49,9.68222118613949e-06,0.0013051361647965617
50,9.139308350907316e-06,0.0013071008628880805
51,8.663044910981851e-06,0.0013105946483306032
52,8.247132773399508e-06,0.0013153427347833337
53,7.885401009092269e-06,0.001321096297484353
54,7.5721048060511165e-06,0.0013276260858016812
55,7.301921147347066e-06,0.0013347360063036364
56,7.069896436262729e-06,0.001342248447693515
57,6.871474840957768e-06,0.001350005075512531
58,6.702530690519839e-06,0.0013578858607533302
